,destination,hotel_name,hotel_score,latitude,longitude,description,url
810,Cassis ,Home Cassis - Maison Mediterranée - Piscine chauffée,"8,2",43.21977635,5.53745873,"Situé à moins de 1 km de la Grande Mer, le Home Cassis - Maison Mediterranée - Piscine chauffée propose une piscine à débordement, un casino et des hébergements climatisés avec balcon et connexion Wi-Fi gratuite.

Tous les logements comprennent une terrasse offrant une vue sur la mer, une télévision à écran plat, un coin repas, une cuisine bien équipée ainsi qu'une salle de bains privative pourvue d'une douche à l'italienne et d'un sèche-cheveux. Un micro-ondes, un grille-pain, un réfrigérateur, une machine à café et une bouilloire sont également fournis.

Cette maison de vacances possède un solarium.

Vous pourrez jouer au ping-pong sur place ou pratiquer la plongée avec tuba ou la pêche dans les environs.

Vous séjournerez à 1,1 km du Bestouan et à 1,4 km de la plage de l'Anse de Corton. L'aéroport le plus proche, celui de Marseille Provence, est situé à 45 km.",https://www.booking.com/hotel/fr/home-cassis-maison-mediterrannee.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
811,Cassis ,Appartement Cassis Plage,"7,6",43.21212598,5.54519355,"L'Appartement Cassis Plage propose un hébergement à Cassis, à 17 km de Marseille, 33 km de Toulon et 36 km d'Aix-en-Provence. Un parking privé est disponible gratuitement sur place.

Situé à l'étage supérieur et accessible par des escaliers, cet appartement comprend un coin salon et une cuisine équipée d’un lave-vaisselle. Sa salle de bains privative est pourvue d'une baignoire ou d'une douche.

L'Appartement Cassis Plage se trouve à 19 km de Bandol et à 48 km de Hyères. L'aéroport de Marseille Provence est, quant à lui, situé à 37 km.",https://www.booking.com/hotel/fr/appartement-cassis-plage.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
812,Cassis ,Villa Le Sud,"9,4",43.23304906,5.55305108,"Située à Cassis, la Villa Le Sud propose une piscine extérieure et une connexion Wi-Fi gratuite. L'hébergement se trouve à 2,5 km des falaises de Cassis. Le circuit Paul Ricard se trouve à 35 minutes en voiture.

Dotée d'une terrasse, chaque chambre climatisée dispose d'une télévision à écran plat. La salle de bains privative est munie d'une baignoire ou d'une douche et d'un sèche-cheveux. La chambre donne sur la piscine et le jardin. Vous disposerez aussi d'une télévision par câble.

La Villa Le Sud comporte un jardin et une terrasse. Le parking est gratuit.

L’aéroport de Marseille Provence est situé à 47,1 km.",https://www.booking.com/hotel/fr/villa-le-sud-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
813,Cassis ,Rêves de vie Appt indépendant Figuerolles,"8,6",43.2273212,5.5330395,"Situé à Cassis, à moins de 19 km du stade Orange Vélodrome et de la station de métro Rond-Point du Prado, le Rêves de vie Appt indépendant Figuerolles propose un hébergement avec une terrasse et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Un parking privé est disponible gratuitement sur place. L'établissement se trouve à environ 20 km de la station de métro La Timone, à 21 km de la station de métro Castellane et à 22 km de la basilique Notre-Dame de la Garde. Cet établissement non-fumeurs se trouve à 19 km du parc des expositions et centre de conventions Marseille Chanot.

Toutes les chambres de cette maison d'hôtes sont équipées d'une machine à café. Leur salle de bains privative est pourvue de linge de lit.

Vous séjournerez à 23 km de la rue Saint-Ferréol et de la station de métro Vieux Port. L'aéroport le plus proche, celui de Marseille Provence, est situé à 45 km.",https://www.booking.com/hotel/fr/figuerolles-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
814,Cassis ,"The Originals Boutique, Hôtel Cassitel, Cassis","7,7",43.21370621,5.53895809,"L’The Originals Boutique, Hôtel Cassitel, Cassis vous accueille en face du port de pêche de Cassis, à seulement 2 minutes à pied de la plage et à 40 minutes de route du circuit automobile Paul Ricard. Cet hôtel dispose d’une connexion Wi-Fi gratuite.

Toutes les chambres sont dotées de la climatisation, d’une salle de bains privative et d’une télévision à écran plat.

Un petit-déjeuner buffet est servi tous les matins et l’The Originals Boutique, Hôtel Cassitel, Cassis comporte un coin salon. La réception ouverte 24h/24 pourra vous fournir des informations pour votre séjour à Cassis.

L’The Originals Boutique, Hôtel Cassitel, Cassis se trouve à 10 minutes en voiture de l’autoroute A50 et à 25 km du centre-ville de Marseille.",https://www.booking.com/hotel/fr/interhotel-cassitel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
815,Cassis ,appartement du pêcheur à Cassis à 10 mètres du port,"8,5",43.21534046,5.5368582,"Situé à Cassis, à moins de 400 mètres de la Grande Mer et à 600 mètres du Bestouan, l'appartement du pêcheur à Cassis à 10 mètres du port propose un hébergement avec une connexion Wi-Fi gratuite, la climatisation et une terrasse. Vous pourrez pratiquer diverses activités dans les environs, telles que la pêche et la randonnée.

Offrant une vue sur la ville, cet appartement comprend un balcon, 2 chambres, un salon, une télévision à écran plat, une cuisine équipée d'un lave-vaisselle et d'un four ainsi qu'une salle de bains pourvue d'une douche à l'italienne. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 1 km de la plage de l'Anse de Corton et à 19 km du stade Orange Vélodrome. L'aéroport de Marseille-Provence, le plus proche, est à 45 km.",https://www.booking.com/hotel/fr/appartement-du-pecheur-a-cassis-a-10-metres-du-port.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from_sustainable_property_sr=1&from=searchresults
816,Cassis ,Le Grand Large 2 par Dodo-a-Cassis,"8,0",43.2116831,5.5451956,"Le Grand Large 2 par Dodo-a-Cassis est situé à Cassis, à 200 mètres de la plage de l'Anse de Corton, à 500 mètres de l'Arene et à 700 mètres de la Grande Mer. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.

Offrant une vue sur la mer, cet appartement comprend une terrasse, une chambre, un salon, une télévision à écran plat, une salle de bains pourvue d'une baignoire ainsi qu'une cuisine équipée d'un lave-vaisselle et d'un four. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de maison moyennant des frais supplémentaires.

Le personnel de la réception se fera un plaisir de vous renseigner sur les environs.

Vous séjournerez à 20 km du stade Orange Vélodrome et de la station de métro Rond-Point du Prado. L'aéroport de Marseille-Provence, le plus proche, est implanté à 46 km.",https://www.booking.com/hotel/fr/le-grand-large-2-par-dodo-a-cassis-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
817,Cassis ,Plein Soleil - 52m2 avec Terrasse Vue Mer Panoramique,"9,0",43.21635029,5.54406134,"Situé à 1 km de la plage de l'Anse de Corton, à 1,4 km de l'Arene et à 20 km du stade Orange Vélodrome, le Plein Soleil - 52m2 avec Terrasse Vue Mer Panoramique propose un hébergement à Cassis. Vous séjournerez à 1 km de la Grande Mer et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.

S'ouvrant sur une terrasse, l'appartement comprend 2 chambres et une cuisine entièrement équipée. Il dispose également d'une télévision à écran plat.

Vous séjournerez à 20 km de la station de métro Rond-Point du Prado et du parc des expositions Marseille Chanot. L'aéroport le plus proche, celui de Marseille Provence, est situé à 45 km.",https://www.booking.com/hotel/fr/terrasse-du-soleil-52m2-vue-mer-panoramique.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
818,Cassis ,Villa Cassis,"9,2",43.21150506,5.52610226,"La Villa Cassis est à 500 mètres de la plage du Bestouan et à 20 minutes à pied du port de Cassis.
Située sur la presqu’île de Cassis, entre mer et calanques, c’est un vrai havre de paix.
Cet établissement propose une piscine à débordement de 17 mètres avec un bel espace transat.
Les studios disposent d’un séjour avec coin cuisine, et terrasse avec vue mer.
Les appartements comprennent une cuisine américaine complète, 1 chambre et une grande terrasse avec vue sur mer ou Cap canaille.
L’ensemble est climatisé, propose l’accès wifi et un parking gratuit.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.",https://www.booking.com/hotel/fr/villa-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
819,Cassis ,Home Cassis - Maison Les Calanques - Piscine chauffée,"7,6",43.21183243,5.52470152,"Situé à 1 km du port de Cassis, l'établissement Home Cassis est une résidence de 4 appartements, abritant une piscine commune. Il se trouve à 5 minutes de la plage et des pittoresques falaises du littoral de Cassis. Sur place, vous bénéficierez d'une connexion Wi-Fi et d'un parking privé gratuits.

L'établissement affiche une décoration moderne, comprenant un salon muni d'une télévision à écran plat. Les cuisines entièrement équipées disposent d'un réfrigérateur, d'un four, d'un four micro-ondes et d'une machine à café. Les salles de bains sont dotées d'une douche à l'italienne et la terrasse privée abrite un barbecue. Vous trouverez sur place un terrain de pétanque.

Ces hébergements indépendants se trouvent à 12 minutes à pied d'épiceries, de bars et de restaurants. Les villes de Marseille et Bandol se situent toutes les deux à moins de 30 km et Toulon est à 45 km. La gare de Cassis est à 5 km de l'établissement, tandis que l'arrêt de bus le plus proche est situé à seulement 100 mètres.",https://www.booking.com/hotel/fr/home-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
820,Cassis ,Eden Cassis - Centre Ville 2 chambres - Wifi - Cosy,10,43.2140797,5.5431287,"Offrant une vue sur le jardin, l'Eden Cassis - Centre Ville 2 chambres - Wifi - Cosy propose un hébergement avec un balcon et une machine à café, à environ 500 mètres de la Grande Mer. Offrant une vue sur la ville et la cour intérieure, il se trouve à 600 mètres de la plage de l'Anse de Corton.

Doté d'une connexion Wi-Fi gratuite, cet appartement de 2 chambres dispose d'une télévision à écran plat, d'un lave-linge et d'une cuisine avec lave-vaisselle et four. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de maison moyennant des frais supplémentaires.

Une terrasse bien exposée est présente.

Vous séjournerez à moins de 1 km de l'Arene et à 19 km du stade Orange Vélodrome. L'aéroport de Marseille-Provence, le plus proche, est implanté à 45 km.",https://www.booking.com/hotel/fr/eden-cassis-centre-ville-wifi-cosi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
821,Cassis ,"Cassis - Le Capucine, 4pers, terrasse, parking","9,2",43.21724817,5.53626304,"Situé à Cassis, à seulement 600 mètres de la Grande Mer, le Cassis - Le Capucine, 4pers, terrasse, parking propose un hébergement avec vue sur la mer. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. Cet appartement climatisé possède une terrasse.

Cet appartement comprend une chambre ainsi qu'une cuisine équipée d'un lave-vaisselle et d'un four. Il comprend une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche à l'italienne. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à moins de 1 km de Bestouan et à 14 minutes à pied de la plage de l'Anse de Corton. L'aéroport le plus proche, celui de Marseille Provence, est situé à 45 km.",https://www.booking.com/hotel/fr/le-capucine-terrasse-parking-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from_sustainable_property_sr=1&from=searchresults
822,Cassis ,Hotel Le Golfe,"8,0",43.21443438,5.53529486,"Situé dans le port de pêche de Cassis, l'Hôtel Le Golfe vous accueille à seulement 400 mètres de la plage de sable. Il abrite un glacier et une terrasse ombragée donnant sur le port.

Chacune des chambres climatisées comprend une télévision à écran plat. Certaines disposent d'un balcon offrant des vues sur la mer. Toutes affichent une décoration simple et disposent d'une salle de bains privative pourvue d'articles de toilette.

Le restaurant de l'hôtel Le Golfe propose une cuisine provençale, notamment des fruits de mer et des salades. Un petit-déjeuner buffet est servi tous les matins.

Un marché provençal se tient dans le village chaque mercredi et vendredi matins. La gare de Cassis se trouve à 3 km et Marseille à 28 km.",https://www.booking.com/hotel/fr/le-golfe-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
823,Cassis ,Cassis Ma Vie Là,"9,1",43.216905,5.541446,"Doté d'un jardin et offrant une vue sur la mer, le Cassis Ma Vie Là est situé à Cassis, à 700 mètres de la Grande Mer et à 1 km de la plage de l'Anse de Corton. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux et d'un parking privé sur place.

Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec lave-vaisselle et machine à café ainsi qu'une salle de bains pourvue d'une douche à l'italienne et d'un sèche-cheveux. Il dispose également d'une télévision par satellite à écran plat et d'un lecteur Blu-ray.

La région est prisée pour pratiquer la plongée avec tuba, le vélo et la randonnée.

Vous séjournerez à 1,2 km du Bestouan et à 19 km du stade Orange Vélodrome. L'aéroport le plus proche, celui de Marseille Provence, est situé à 45 km.",https://www.booking.com/hotel/fr/cassis-ma-vie-la.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from_sustainable_property_sr=1&from=searchresults
824,Cassis ,Panisse - Parking - Clim - Wifi,"9,0",43.2177957,5.5358322,"Situé à Cassis, à seulement 700 mètres de la Grande Mer, le Panisse - Parking - Clim - Wifi propose un hébergement avec vue sur la mer. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. Cet appartement climatisé dispose d'un balcon.

Cet appartement comprend 2 chambres ainsi qu'une cuisine équipée d'un lave-vaisselle et d'un four. Il comprend une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de maison moyennant des frais supplémentaires.

Une terrasse bien exposée est présente.

Vous séjournerez à moins de 1 km de Bestouan et à 15 minutes à pied de la plage de l'Anse de Corton. L'aéroport de Marseille-Provence, le plus proche, est implanté à 45 km.",https://www.booking.com/hotel/fr/panisse-parking-clim-wifi-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atfo66gGwAIB0gIkY2E2ZDBmY2EtY2ZmNy00OThhLTk5MjEtNzc1NmM4NTU0NmIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0117762b7bc80249&srepoch=1696265304&from=searchresults
